dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,distinct_levels_mean,distinct_levels_std,n_seeds
smtp,smol-360,prompted,0.001229259651280556,8.658804368331967e-06,1.9501384861131834,0.013736615876734222,0.7381032642086401,0.00144972135159146,0.0,0.0,2924.0,18.083141320025124,3
speech,qwen2.5-3b,likelihood,0.03749013136164788,0.002342292106375106,1.151746002815215,0.07195828536634352,0.46851066523197665,0.010829375473441687,0.01639344262295082,0.0,,,3
speech,qwen2.5-3b,prompted,0.04617860470234988,0.0004076722949493422,1.4186672985607158,0.012524227553033923,0.5791324948233614,0.006719806029800612,0.03278688524590164,0.0,1866.6666666666667,4.618802153517023,3
speech,smol-360,likelihood,0.037322172212392896,0.002421233055505374,1.1465860774758079,0.07438345485273884,0.4685317636137308,0.011382293125681873,0.01639344262295082,0.0,,,3
speech,smol-360,prompted,0.0334353844399656,0.0005646320374053612,1.0271788596802547,0.01734623669012527,0.4937865265734118,0.0073920576966167405,0.0,0.0,1872.6666666666667,1.5275252316519776,3
thyroid,qwen2.5-3b,likelihood,0.8336204010631046,0.02439974682856074,17.326755217795498,0.5071474260172906,0.9909264453794608,0.00034840012782962645,0.8172043010752689,0.021505376344086086,,,3
thyroid,qwen2.5-3b,prompted,0.0541610101201569,0.00048757431414962087,1.1257336834651968,0.010134205905926955,0.5836099423406577,0.0016997106606291053,0.01075268817204301,0.0,1867.3333333333333,6.6583281184794,3
thyroid,smol-360,likelihood,0.8530170837150278,0.02194555868997103,17.729914223883323,0.4561372575023016,0.9917192613370734,0.0006662760468412534,0.8136200716845878,0.006208067410641228,,,3
thyroid,smol-360,prompted,0.08506593562171334,0.01054030593946094,1.7680908984599129,0.21907969226858068,0.615255376344086,0.01538453656710574,0.04301075268817204,0.01075268817204301,1278.3333333333333,14.1891977691952,3
vertebral,qwen2.5-3b,likelihood,0.19625853659669787,0.01289473302196744,0.8831634146851405,0.0580262985988535,0.37513227513227515,0.03409460750404614,0.03333333333333333,0.03333333333333333,,,3
vertebral,qwen2.5-3b,prompted,0.32120578461252713,0.022837065694388373,1.4454260307563722,0.10276679562474764,0.6880423280423281,0.03160976043459534,0.011111111111111112,0.019245008972987525,125.66666666666667,1.1547005383792495,3
vertebral,smol-360,likelihood,0.17595624502054705,0.00689612752547172,0.7918031025924618,0.03103257386462271,0.3747089947089947,0.02659160511644639,0.0,0.0,,,3
vertebral,smol-360,prompted,0.21185645707702908,0.012469973124954915,0.953354056846631,0.056114879062297146,0.49312169312169307,0.03511107283980426,0.0,0.0,116.66666666666667,2.516611478423583,3
vowels,qwen2.5-3b,likelihood,0.6575439478282623,0.05460636118928433,9.902611854293632,0.8223717995106224,0.9560834518729256,0.009359511479670034,0.41333333333333333,0.030550504633038916,,,3
vowels,qwen2.5-3b,prompted,0.19676249486243158,0.008741833211121902,2.96324317262822,0.13165200815949576,0.6564153627311523,0.002206074997403333,0.12,0.0,748.0,1.0,3
vowels,smol-360,likelihood,0.1869866932961125,0.023462905824314824,2.816019601039455,0.3533513617141808,0.7077667140825036,0.01076951760405961,0.060000000000000005,0.0721110255092798,,,3
vowels,smol-360,prompted,0.10641425938799302,0.005790635046942007,1.602598746383175,0.08720696380694652,0.5824134660976766,0.00787879586168461,0.02666666666666667,0.011547005383792516,584.6666666666666,5.131601439446888,3
wbc,qwen2.5-3b,likelihood,0.8202575168553615,0.061000024206756716,7.811976351003445,0.5809526114929207,0.9526469805799413,0.006255906366749021,0.6190476190476191,0.08247860988423221,,,3
wbc,qwen2.5-3b,prompted,0.0788440958771235,0.0015244703955857573,0.7508961512107001,0.014518765672245332,0.3481422364103928,0.011603018460235091,0.0,0.0,199.33333333333334,0.5773502691896278,3
wbc,smol-360,likelihood,0.6865054105804559,0.052812773856675176,6.538146767432913,0.5029787986350015,0.9242706393544382,0.004132723312133018,0.31746031746031744,0.0549857399228215,,,3
wbc,smol-360,prompted,0.463383801522891,0.05077028545684155,4.413179062122771,0.4835265281603956,0.7555644231621885,0.010512602828655447,0.19047619047619047,0.047619047619047616,162.33333333333334,2.5166114784235867,3
wine,qwen2.5-3b,likelihood,0.665589308145089,0.17137533719489056,4.659125157015623,1.1996273603642336,0.915,0.052068331172710994,0.13333333333333333,0.11547005383792516,,,3
wine,qwen2.5-3b,prompted,0.08916714395939544,0.0008444189306436727,0.6241700077157681,0.005910932514505711,0.11833333333333333,0.010408329997330672,0.0,0.0,70.0,0.0,3
wine,smol-360,likelihood,0.6002464057366018,0.143991563767533,4.201724840156213,1.0079409463727311,0.9166666666666666,0.0360940130461795,0.10000000000000002,0.1,,,3
wine,smol-360,prompted,0.26072040362086296,0.015874199731403332,1.8250428253460405,0.11111939811982338,0.6430555555555555,0.015122952876462458,0.0,0.0,61.0,1.7320508075688772,3
yeast,qwen2.5-3b,likelihood,0.27189932786302284,0.0056250557329479475,2.2610575685451373,0.04677677925293563,0.7376801716521518,0.008991253046234958,0.03508771929824561,0.006077371254627639,,,3
yeast,qwen2.5-3b,prompted,0.06978628305117712,0.0001920230122699509,0.5803280380045255,0.0015968229441395523,0.17346964533636247,0.0035130479158617623,0.0,0.0,776.3333333333334,1.1547005383792432,3
yeast,smol-360,likelihood,0.32149774006832166,0.012599447538509813,2.6735075226734115,0.10477435321497625,0.7761100593209642,0.004758289919780355,0.07017543859649122,0.006077371254627638,,,3
yeast,smol-360,prompted,0.3500523971251254,0.009496573876119163,2.910962039251043,0.07897150907509631,0.7144818881736716,0.018549419332098475,0.11228070175438597,0.033837371091203355,525.6666666666666,8.962886439832493,3
